823.408,599.5374,,,
823.4016,599.8954,4.096E-05,0.128164,0.358057202
823.578,599.6502,0.03111696,0.06012304,0.302059597
823.4114,600.0821,0.02775556,0.18653761,0.462918103
823.415,600.1407,1.296E-05,0.00343396,0.058710476
823.3253,600.1248,0.00804609,0.00025281,0.091098299
823.4286,600.2526,0.01067089,0.01633284,0.164328117
823.4957,600.3853,0.00450241,0.01760929,0.148700034
823.3034,600.2466,0.03697929,0.01923769,0.237101202
823.3568,600.7542,0.00285156,0.25765776,0.510401136
823.3993,600.3582,0.00180625,0.156816,0.398274089
823.3649,600.3406,0.00118336,0.00030976,0.038640911
823.3477,600.0118,0.00029584,0.10810944,0.329249571
823.4287,599.7465,0.006561,0.07038409,0.27738978
823.2276,601.1861,0.04044121,2.07244816,1.453578127
823.2209,600.6712,4.489E-05,0.26512201,0.514943589
823.2415,600.3212,0.00042436,0.1225,0.350605704
823.3248,600.0964,0.00693889,0.05053504,0.23973721
823.2004,600.094,0.01547536,5.76E-06,0.124423149
823.3715,600.37,0.02927521,0.076176,0.324732521
823.0438,600.6718,0.10738729,0.09108324,0.445500314
823.3323,600.2803,0.08323225,0.15327225,0.486317283
823.2606,600.3557,0.00514089,0.00568516,0.104048306
823.3138,600.5464,0.00283024,0.03636649,0.197981641
823.1462,600.4846,0.02808976,0.00381924,0.178630904
823.1796,600.2872,0.00111556,0.03896676,0.200205694
823.2115,600.1656,0.00101761,0.01478656,0.125714637
823.3143,599.8962,0.01056784,0.07257636,0.28834736
823.0878,600.2579,0.05130225,0.13082689,0.426765908
823.1116,600.1983,0.00056644,0.00355216,0.06417632
823.1312,600.2991,0.00038416,0.01016064,0.102687877
823.0833,600.4441,0.00229441,0.021025,0.152706942
823.0889,600.1953,3.136E-05,0.06190144,0.248863015
822.9513,601.0805,0.01893376,0.78357904,0.895830788
822.9446,601.0903,4.489E-05,9.604E-05,0.011871394
822.9058,600.9855,0.00150544,0.01098304,0.111751868
822.766,600.7435,0.01954404,0.058564,0.279478157
823.1046,600.423,0.11464996,0.10272025,0.466229782
822.8677,600.4972,0.05612161,0.00550564,0.248248364
822.8827,601.43,0.000225,0.87011584,0.932920597
822.889,600.4778,3.969E-05,0.90668484,0.952220841
823.0139,600.2796,0.01560001,0.03928324,0.234271744
822.8326,600.2164,0.03286969,0.00399424,0.191999818
822.8815,600.0414,0.00239121,0.030625,0.181703632
822.9641,600.4549,0.00682276,0.17098225,0.421669314
822.9126,600.5818,0.00265225,0.01610361,0.136952035
822.8909,600.2795,0.00047089,0.09138529,0.303077845
822.8232,600.5925,0.00458329,0.097969,0.320237865
822.6486,600.3638,0.03048516,0.05230369,0.287730516
822.7854,600.9142,0.01871424,0.30294016,0.567145837
822.7835,600.15,3.61E-06,0.58400164,0.764202362
822.8108,600.0005,0.00074529,0.02235025,0.151972169
822.5329,601.4331,0.07722841,2.05234276,1.45930503
822.6589,600.5362,0.015876,0.80442961,0.905707243
822.7004,600.7067,0.00172225,0.02907025,0.175477919
822.6299,600.7101,0.00497025,1.156E-05,0.070581938
822.7104,599.9645,0.00648025,0.55591936,0.74993307
822.5922,600.7365,0.01397124,0.595984,0.780996312
822.6417,600.0504,0.00245025,0.47073321,0.687883319
